site,id,water_pot_mpa,start_weight,weight_g,total_weight_g,mass_lost_g,dry_mass,wc,sat_mass_est,rwc,notes
SRER,4,3.69,3.2939,2.9072,2.9072,0.3866999999999998,1.5351,0.8938179923132045,3.4238140134312167,0.7264731400532753,NA
SRER,4,4.03,3.2939,2.8334,2.8334,0.4604999999999997,1.5351,0.8457429483421277,3.4238140134312167,0.6873989342840664,NA
SRER,4,4.34,3.2939,2.773,2.773,0.5208999999999997,1.5351,0.8063969773956096,3.4238140134312167,0.6554195030041174,NA
SRER,4,4.49,3.2939,2.7256,2.7256,0.5682999999999998,1.5351,0.7755195101296334,3.4238140134312167,0.6303230619003165,NA
SRER,4,4.74,3.2939,2.691,2.691,0.6029,1.5351,0.7529802618721907,3.4238140134312167,0.6120037188161073,NA
SRER,4,5.23,3.2939,2.6086,2.6086,0.6852999999999998,1.5351,0.6993029770047555,3.4238140134312167,0.5683761503149851,NA
SRER,5,1.53,3.3954,3.3954,3.3954,0,1.4964,1.269045709703288,3.63149743446737,0.889420768038032,NA
SRER,5,1.99,3.3954,3.2982,3.2982,0.09719999999999995,1.4964,1.2040898155573376,3.63149743446737,0.843895913560256,NA
SRER,5,2.39,3.3954,3.256,3.256,0.1394000000000002,1.4964,1.1758887997861531,3.63149743446737,0.8241310076038552,NA
SRER,5,2.65,3.3954,3.2108,3.2108,0.1846000000000001,1.4964,1.1456829724672548,3.63149743446737,0.8029610135462886,NA
SRER,5,3.1,3.3954,3.1363,3.1363,0.2591000000000001,1.4964,1.0958968190323444,3.63149743446737,0.7680679923673347,NA
SRER,5,3.36,3.3954,3.0862,3.0862,0.30920000000000014,1.4964,1.0624164661855118,3.63149743446737,0.7446030210778637,NA
SRER,5,3.56,3.3954,3.025,3.025,0.37040000000000006,1.4964,1.0215183106121355,3.63149743446737,0.7159392238140788,NA
SRER,5,3.66,3.3954,2.9758,2.9758,0.4196,1.4964,0.9886394012296178,3.63149743446737,0.6928957789549577,NA
SRER,5,4,3.3954,2.932,2.932,0.4634,1.4964,0.9593691526329858,3.63149743446737,0.6723814926779351,NA
SRER,5,4.31,3.3954,2.8975,2.8975,0.4979,1.4964,0.936313819834269,3.63149743446737,0.6562229795145269,NA
SRER,5,4.68,3.3954,2.7929,2.7929,0.6025,1.4964,0.8664127238706228,3.63149743446737,0.607232241053875,NA
SRER,5,4.95,3.3954,2.7492,2.7492,0.6461999999999999,1.4964,0.8372093023255816,3.63149743446737,0.5867647910468913,NA
SRER,6,1.1,4.7907,4.7907,4.7907,0,1.9769,1.4233395720572612,4.98240512071756,0.9362153405109518,NA
SRER,6,1.26,4.7907,4.7428,4.7428,0.04790000000000027,1.9769,1.3991097172340532,4.98240512071756,0.9202779196528684,NA
SRER,6,1.46,4.7907,4.6908,4.6908,0.09989999999999988,1.9769,1.372805908240174,4.98240512071756,0.9029763354227992,NA
SRER,6,1.64,4.7907,4.6664,4.6664,0.12429999999999986,1.9769,1.3604633517122768,4.98240512071756,0.8948578997456127,NA
SRER,6,1.75,4.7907,4.6276,4.6276,0.16310000000000002,1.9769,1.3408366634629976,4.98240512071756,0.8819482561277916,NA
SRER,6,2.35,4.7907,4.526,4.526,0.2647000000000004,1.9769,1.2894430674288024,4.98240512071756,0.848143622324425,NA
SRER,6,2.75,4.7907,4.4677,4.4677,0.3230000000000004,1.9769,1.2599524508068185,4.98240512071756,0.8287458846203278,NA
SRER,6,3.07,4.7907,4.425,4.425,0.3657000000000003,1.9769,1.2383529768829984,4.98240512071756,0.8145386221852515,NA
SRER,6,3.4,4.7907,4.3128,4.3128,0.4779,1.9769,1.1815974505538975,4.98240512071756,0.7772071269811403,NA
SRER,6,3.53,4.7907,4.2232,4.2232,0.5674999999999999,1.9769,1.1362739642875208,4.98240512071756,0.747395166461636,NA
SRER,6,3.93,4.7907,4.1018,4.1018,0.6889000000000003,1.9769,1.0748646871364256,4.98240512071756,0.7070026217398967,NA
SRER,6,4.18,4.7907,3.9822,3.9822,0.8085,1.9769,1.0143659264505034,4.98240512071756,0.667208978010737,NA
SRER,6,4.54,4.7907,3.908,3.908,0.8827000000000003,1.9769,0.97683241438616,4.98240512071756,0.6425209482055224,NA
SRER,6,4.72,4.7907,3.8705,3.8705,0.9202000000000004,1.9769,0.9578633213617278,4.98240512071756,0.630043844193453,NA
SRER,6,5.01,4.7907,3.7612,3.7612,1.0295,1.9769,0.9025747382265162,4.98240512071756,0.5936772450329417,NA
